timestamp,value
2020-12-24,17
2020-12-25,30
2020-12-26,29
2020-12-27,44
2020-12-28,32
2020-12-29,26
2020-12-30,33
2020-12-31,43
2021-01-01,38
2021-01-02,20
2021-01-03,33
2021-01-04,39
2021-01-05,42
2021-01-06,50
2021-01-07,32
2021-01-08,42
2021-01-09,52
2021-01-10,60
2021-01-11,74
2021-01-12,68
2021-01-13,61
2021-01-14,50
2021-01-15,40
2021-01-16,49
2021-01-17,33
2021-01-18,26
2021-01-19,42
2021-01-20,33
2021-01-21,31
2021-01-22,28
2021-01-23,27
2021-01-24,48
2021-01-25,58
2021-01-26,33
2021-01-27,27
2021-01-28,17
2021-01-29,28
2021-01-30,41
2021-01-31,35
2021-02-01,28
2021-02-02,24
2021-02-03,22
2021-02-04,53
2021-02-05,27
2021-02-06,35
2021-02-07,45
2021-02-08,55
2021-02-09,60
2021-02-10,54
2021-02-11,40
2021-02-12,56
2021-02-13,59
2021-02-14,53
2021-02-15,42
2021-02-16,28
2021-02-17,36
2021-02-18,41
2021-02-19,61
2021-02-20,79
2021-02-21,81
2021-02-22,41
2021-02-23,36
2021-02-24,38
2021-02-25,22
2021-02-26,38
2021-02-27,30
2021-02-28,45
2021-03-01,33
2021-03-02,25
2021-03-03,38
2021-03-04,48
2021-03-05,17
2021-03-06,22
2021-03-07,33
2021-03-08,38
2021-03-09,65
2021-03-10,79
2021-03-11,66
2021-03-12,20
2021-03-13,23
2021-03-14,28
2021-03-15,16
2021-03-16,37
2021-03-17,56
2021-03-18,25
2021-03-19,21
2021-03-20,32
2021-03-21,42
2021-03-22,32
2021-03-23,29
2021-03-24,28
2021-03-25,41
2021-03-26,23
2021-03-27,47
2021-03-28,26
2021-03-29,23
2021-03-30,33
2021-03-31,36
2021-04-01,25
2021-04-02,20
2021-04-03,34
2021-04-04,42
2021-04-05,56
2021-04-06,62
2021-04-07,72
2021-04-08,64
2021-04-09,29
2021-04-10,37
2021-04-11,20
2021-04-12,15
2021-04-13,37
2021-04-14,30
2021-04-15,28
2021-04-16,29
2021-04-17,40
2021-04-18,40
2021-04-19,35
2021-04-20,37
2021-04-21,23
2021-04-22,33
2021-04-23,54
2021-04-24,54
2021-04-25,48
2021-04-26,28
2021-04-27,38
2021-04-28,53
2021-04-29,28
2021-04-30,18
2021-05-01,18
2021-05-02,24
2021-05-03,26
2021-05-04,27
2021-05-05,21
2021-05-06,25
2021-05-07,27
2021-05-08,29
2021-05-09,23
2021-05-10,22
2021-05-11,20
2021-05-12,14
2021-05-13,21
2021-05-14,37
2021-05-15,54
2021-05-16,56
2021-05-17,54
2021-05-18,52
2021-05-19,54
2021-05-20,56
2021-05-21,57
2021-05-22,60
2021-05-23,51
2021-05-24,43
2021-05-25,61
2021-05-26,63
2021-05-27,25
2021-06-02,49
2021-06-03,34
2021-06-04,40
2021-06-05,55
2021-06-06,67
2021-06-07,66
2021-06-08,44
2021-06-09,33
2021-06-10,42
2021-06-11,43
2021-06-12,55
2021-06-14,42
2021-06-15,25
2021-06-16,18
2021-06-17,28
2021-06-18,50
2021-06-19,42
2021-06-20,60
2021-06-21,48
2021-06-22,18
2021-06-23,23
2021-06-24,30
2021-06-25,40
2021-06-26,45
2021-06-27,47
2021-06-28,42
2021-06-29,46
2021-06-30,31
2021-07-01,29
2021-07-02,28
2021-07-03,29
2021-07-04,73
2021-07-05,104
2021-07-06,87
2021-07-07,76
2021-07-08,40
2021-07-09,35
2021-07-10,38
2021-07-11,30
2021-07-12,33
2021-07-13,33
2021-07-14,38
2021-07-15,52
2021-07-16,52
2021-07-17,29
2021-07-18,55
2021-07-19,96
2021-07-20,129
2021-07-21,81
2021-07-22,41
2021-07-23,40
2021-07-24,59
2021-07-25,65
2021-07-26,64
2021-07-27,63
2021-07-28,68
2021-07-29,67
2021-07-30,55
2021-07-31,30
2021-08-01,67
2021-08-02,51
2021-08-03,41
2021-08-04,53
2021-08-05,57
2021-08-06,60
2021-08-07,65
2021-08-08,68
2021-08-09,68
2021-08-10,48
2021-08-11,44
2021-08-12,49
2021-08-13,40
2021-08-14,33
2021-08-15,32
2021-08-16,30
2021-08-17,22
2021-08-18,17
2021-08-19,41
2021-08-20,47
2021-08-21,60
2021-08-22,63
2021-08-23,60
2021-08-24,55
2021-08-25,53
2021-08-26,53
2021-08-27,56
2021-08-28,59
2021-08-29,55
2021-08-30,42
2021-08-31,42
2021-09-01,25
2021-09-02,27
2021-09-03,27
2021-09-04,34
2021-09-05,38
2021-09-06,39
2021-09-07,43
2021-09-08,40
2021-09-09,34
2021-09-10,28
2021-09-11,33
2021-09-12,40
2021-09-13,62
2021-09-14,60
2021-09-15,42
2021-09-16,35
2021-09-17,41
2021-09-18,52
2021-09-19,43
2021-09-20,46
2021-09-21,33
2021-09-22,15
2021-09-23,10
2021-09-24,23
2021-09-25,31
2021-09-26,23
2021-09-27,31
2021-09-28,48
2021-09-29,22
2021-09-30,24
2021-10-01,30
2021-10-02,51
2021-10-03,54
2021-10-04,27
2021-10-05,38
2021-10-06,36
2021-10-07,24
2021-10-08,29
2021-10-09,25
2021-10-10,25
2021-10-11,19
2021-10-12,27
2021-10-13,45
2021-10-14,54
2021-10-16,25
2021-10-17,23
